"Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks","Inclusion","Potential Decks"
"","2","Lightning Greaves","uncommon","Artifact","6.99","4.75","6.58","2.94","0.02","0.5307692307692314","2015798","2015798","8148845"
"U","1","An Offer You Can't Refuse","uncommon","Instant","4.99","2.45","5.12","1.92","0.03","0.6711259754738018","994576","994576","4028755"
"B,R","2","Rakdos Signet","uncommon","Artifact","2.49","1","2.19","0.63","0.03","0","467199","467199","1902006"
"W,B","3","Anguished Unmaking","rare","Instant","4.49","2.42","3.65","1.92","0.02","0.22831050228310515","454656","454656","1853973"
"B","1","Dark Ritual","common","Instant","3.99","3.26","1.46","1.09","0.01","0.6700913242009133","1012164","1012164","4146014"
"U,B","2","Dimir Signet","common","Artifact","1.49","0.68","1.46","0.51","0.03","0.3333333333333333","495930","495930","2034408"
"R,W","2","Talisman of Conviction","uncommon","Artifact","0.69","0.34","0.72","0.27","0.03","0","460978","460978","1898441"
"G","2","Three Visits","uncommon","Sorcery","9.99","7.72","10.24","6","0.15","0.22160356347438742","913620","913620","3772297"
"U,R","2","Izzet Signet","common","Artifact","0.79","0.39","0.72","0.31","0.03","0.10526315789473684","452483","452483","1909177"
"U","3","Rhystic Study","rare","Enchantment","64.99","56.79","65.88","31.22","4.41","2.729052466718872","950627","950627","4028755"
"W,B","2","Orzhov Signet","common","Artifact","0.69","0.31","0.72","0.25","0.03","0.11764705882352941","427839","427839","1853973"
"R,W","2","Boros Charm","uncommon","Instant","8.99","4.57","6.58","4.3","0.03","0.36058230683090714","424409","424409","1898441"
"U","2","Cyclonic Rift","mythic","Instant","39.99","32.27","36.6","23.1","0.02","2.3586776859504135","890905","890905","4028755"
"W","3","Generous Gift","uncommon","Instant","1.79","1.02","1.82","0.6","0.03","0.31687715269804795","832983","832983","3798857"
"R,G","3","Rhythm of the Wild","uncommon","Enchantment","6.49","3.28","4.39","3.28","0.03","0.41011235955056163","387045","387045","1788871"
"W,U","2","Azorius Signet","uncommon","Artifact","0.69","0.26","0.72","0.21","0.03","0","395133","395133","1860951"
"W","4","Smothering Tithe","mythic","Enchantment","59.99","51.02","58.56","22.4","0.02","2.5772765246449447","800021","800021","3798857"
"U","2","Negate","common","Instant","0.35","0.25","0.21","0.07","0.01","0.39908256880733944","841413","841413","4028755"
"","2","Fellwar Stone","uncommon","Artifact","1.99","1.04","1.82","0.88","0.04","0.18181818181818182","1664430","1664430","8148845"
"G","1","Llanowar Elves","common","Creature","0.59","0.31","0.55","0.14","0.03","0.19622245540398744","764426","764426","3772297"
"U","2","Arcane Denial","common","Instant","3.99","2.43","2.92","2.2","0.12","0.46238938053097334","815467","815467","4028755"
"G,U","2","Growth Spiral","common","Instant","0.69","0.26","0.72","0.23","0.03","0.1637362637362636","367909","367909","1824186"
"B","2","Demonic Tutor","mythic","Sorcery","64.99","54.4","62.22","34.98","6.75","1.5842787682333888","797724","797724","4146014"
"B,R","2","Terminate","common","Instant","0.99","0.35","0.72","0.3","0.03","0.18786464410735124","365727","365727","1902006"
"R,W","2","Boros Signet","uncommon","Artifact","0.99","0.5","1.09","0.4","0.03","0.4444444444444444","364179","364179","1898441"
"B","1","Reanimate","rare","Sorcery","11.99","8.47","12.44","7","0.1","0.7910602910602909","791392","791392","4146014"
"R,W,B","7","Ruinous Ultimatum","rare","Sorcery","2.49","0.99","2.19","1.27","0.02","1.0167525773195885","175409","175409","927141"
"W","1","Esper Sentinel","rare","Creature","59.99","54.53","54.9","33.45","1.87","1.6737704918032779","716899","716899","3798857"
"U","1","Brainstorm","common","Instant","2.49","1.4","2.19","0.92","0.7","0.21122112211221122","737600","737600","4028755"
"W,U","2","Dovin's Veto","uncommon","Instant","2.99","3.06","2.92","1.02","0.03","0.7020810514786413","340344","340344","1860951"
"B","3","Toxic Deluge","rare","Sorcery","11.99","8.75","11.71","7.31","0.23","0.8662109375000001","748050","748050","4146014"
"U","1","Swan Song","rare","Instant","11.99","8.9","12.44","8.14","0.06","0.7871690427698572","711338","711338","4028755"
"U","3","Fierce Guardianship","rare","Instant","64.99","57","62.22","37.5","13.89","2.2991666666666712","710029","710029","4028755"
"","2","Thought Vessel","common","Artifact","3.49","2","3.65","0.98","0.12","0.26666666666666666","1416830","1416830","8148845"
"G","3","Garruk's Uprising","uncommon","Enchantment","0.99","0.45","1.46","0.42","0.03","0.31596828992072507","645287","645287","3772297"
"R","3","Deflecting Swat","rare","Instant","79.99","70.32","73.2","42.66","8.35","1.7172131147540983","685389","685389","4068867"
"G","3","Eternal Witness","uncommon","Creature","1.99","1.2","1.46","0.73","0.03","0.2519509476031211","629692","629692","3772297"
"W","3","Teferi's Protection","rare","Instant","57.99","46.68","47.58","29.74","5.28","2.1320000000000023","629066","629066","3798857"
"G","2","Sakura-Tribe Elder","common","Creature","0.69","0.31","0.72","0.34","0.03","0.15965480043149918","616249","616249","3772297"
"B,G","3","Putrefy","uncommon","Instant","0.35","0.22","0.36","0.13","0.03","0.18213058419243985","280236","280236","1730512"
"B","2","Feed the Swarm","common","Sorcery","0.59","0.26","0.55","0.24","0.03","0.22222222222222227","665830","665830","4146014"
"U","1","Mystic Remora","rare","Enchantment","13.99","9.1","13.9","7.58","7.67","1.5384615384615383","646218","646218","4028755"
"G","1","Elvish Mystic","common","Creature","1.49","0.5","1.46","0.41","0.03","0.18627450980392177","599585","599585","3772297"
"R","1","Faithless Looting","common","Sorcery","0.79","0.34","0.72","0.29","0.04","0.16067415730337103","643106","643106","4068867"
"G,W,U","1","Noble Hierarch","rare","Creature","14.99","11.87","13.17","8.06","0.35","0.18918918918918912","146334","146334","932626"
"R","1","Vandalblast","uncommon","Sorcery","4.49","2.31","4.39","1.65","0.03","0.7003525264394832","630140","630140","4068867"
"B","3","Phyrexian Arena","rare","Enchantment","4.99","2.37","5.12","2.31","0.02","0.21483097055616132","638849","638849","4146014"
"G,U,R","3","Temur Ascendancy","rare","Enchantment","3.99","2.11","3.65","2.2","0.02","0.4010554089709763","136351","136351","891889"
"R","3","Jeska's Will","rare","Sorcery","49.99","43.49","51.24","30.18","13.85","1.485270049099835","619914","619914","4068867"
"W","1","Enlightened Tutor","rare","Instant","37.99","31","32.94","23.93","11.9","1.1509803921568644","576399","576399","3798857"
"W,B","2","Damn","rare","Sorcery","2.99","1.43","2.56","1.73","0.02","0.3555798687089716","280822","280822","1853973"
"B,R","2","Rakdos Charm","uncommon","Instant","0.99","0.42","0.72","0.68","0.03","0.375","282378","282378","1902006"
"W,U,B","3","Void Rend","rare","Instant","0.69","0.45","0.72","0.42","0.02","0.3680981595092024","148685","148685","1005205"
"B","1","Vampiric Tutor","mythic","Instant","84.99","65.46","69.54","39.57","0.03","1.6001609010458566","613060","613060","4146014"
"W,U,B,R,G","4","Leyline of the Guildpact","rare","Enchantment","7.99","7.49","8.05","2.46","0.87","0.4486486486486488","79800","79800","539948"
"G,W","3","Kutzil, Malamet Exemplar","uncommon","Creature","3.49","1.58","2.56","0.96","0.03","0.6337402885682575","253371","253371","1735178"
"U","3","Frantic Search","common","Instant","0.99","0.49","0.72","0.23","0.04","0.30190796857463487","588088","588088","4028755"
"","2","Mind Stone","uncommon","Artifact","0.39","0.27","0.36","0.09","0.04","0","1180411","1180411","8148845"
"U","2","Mana Drain","mythic","Instant","69.99","47.4","69.54","38.82","2.76","1.8879103282626102","582190","582190","4028755"
"U","3","Propaganda","uncommon","Enchantment","4.49","2.81","32.94","2.13","0.88","1.1240992794235398","560573","560573","4028755"
"W,U,B,R,G","7","Morophon, the Boundless","mythic","Creature","7.99","7.08","7.31","3.79","0.02","0.6666666666666662","74869","74869","539948"
"B","4","Deadly Rollick","rare","Instant","27.99","24.48","21.96","17.09","4.22","1.4592651757188495","571506","571506","4146014"
"W,B","2","Despark","uncommon","Instant","0.69","0.35","0.72","0.25","0.03","0.21177802944507362","250763","250763","1853973"
"U,B","2","Baleful Strix","rare","Creature","2.29","1.1","2.19","1.06","0.27","0.23337091319052986","267522","267522","2034408"
"W,B","2","Lotho, Corrupt Shirriff","rare","Creature","15.99","11.5","15.37","8.23","0.02","0.5667420814479636","241292","241292","1853973"
"G,U","2","Talisman of Curiosity","uncommon","Artifact","0.69","0.33","0.72","0.21","0.03","0.29411764705882354","230261","230261","1824186"
"R,G,W","4","Annie Joins Up","rare","Enchantment","8.49","5.9","7.31","3.28","0.02","0.5058823529411763","119285","119285","946269"
"B,G","2","Talisman of Resilience","uncommon","Artifact","0.59","0.32","0.72","0.25","0.03","0","217807","217807","1730512"
"","4","Solemn Simulacrum","rare","Creature","0.69","0.3","0.55","0.22","0.02","0.11111111111111116","1021499","1021499","8148845"
"W","6","Farewell","rare","Sorcery","5.49","5","5.85","4","3.48","2.128819157720893","475140","475140","3798857"
"B","3","Victimize","uncommon","Sorcery","1.29","0.56","1.46","0.3","0.03","0.32302405498281783","513322","513322","4146014"
"B","2","Deadly Dispute","common","Instant","0.79","0.39","1.09","0.43","0.03","0.1568181818181815","509254","509254","4146014"
"G,W","1","Avacyn's Pilgrim","common","Creature","0.79","0.54","0.72","0.48","0.03","0.12013348164627366","212759","212759","1735178"
"W,U","4","Supreme Verdict","rare","Sorcery","2.79","2.02","2.56","2.05","0.15","0.6973684210526319","226025","226025","1860951"
"G,U","5","Tatyova, Benthic Druid","uncommon","Creature","0.35","0.24","0.21","0.11","0.03","0.8244047619047619","220699","220699","1824186"
"U","1","Mystical Tutor","rare","Instant","17.99","13.99","13.9","8.46","0.2","1.2026209677419362","484457","484457","4028755"
"G","1","Delighted Halfling","rare","Creature","27.99","23.58","27.08","14.97","0.02","0.5874730021598271","452734","452734","3772297"
"B","3","Black Market Connections","rare","Enchantment","21.99","15.89","21.22","16.31","0.02","0.5630153121319197","496997","496997","4146014"
"R,G","2","Goblin Anarchomancer","common","Creature","1.29","0.34","1.09","0.28","0.03","0.18851570964247014","214221","214221","1788871"
"G","1","Worldly Tutor","rare","Instant","29.99","22.5","23.42","14.44","3.78","1.1479289940828417","451326","451326","3772297"
"B,R","3","Bedevil","rare","Instant","0.99","0.4","1.09","0.36","0.02","0.14689265536723156","227227","227227","1902006"
"W","6","Austere Command","rare","Sorcery","0.99","0.47","1.09","0.43","0.02","0.7041062801932366","451982","451982","3798857"
"U","3","Windfall","uncommon","Sorcery","5.99","4.14","4.39","3.03","0.22","0.8405940594059408","475966","475966","4028755"
"","3","Commander's Sphere","common","Artifact","0.35","0.25","0.36","0.12","0.04","0.16666666666666666","962032","962032","8148845"
"G,W","3","Faeburrow Elder","rare","Creature","0.79","0.45","0.72","0.45","0.02","0.3133903133903133","204191","204191","1735178"
"U","1","Ponder","common","Sorcery","2.99","1.56","2.92","1.83","0.03","0.15462753950338587","471382","471382","4028755"
"W","3","Ghostly Prison","uncommon","Enchantment","8.49","6.51","8.05","3.88","0.12","1.0668841761827068","434148","434148","3798857"
"R","2","Abrade","uncommon","Instant","0.39","0.24","0.36","0.07","0.03","0.1615384615384616","463432","463432","4068867"
"B","2","Blood Artist","uncommon","Creature","3.49","2.35","2.92","1.57","0.03","0.5604395604395609","470757","470757","4146014"
"U","1","Pongify","uncommon","Instant","3.99","2.07","3.65","1.5","0.03","0.3862144420131292","452433","452433","4028755"
"","1","Skullclamp","uncommon","Artifact","5.99","5","6.58","3.72","1.23","0.8283963227783453","911806","911806","8148845"
"G","5","Return of the Wildspeaker","rare","Instant","1.79","0.56","1.82","0.66","0.02","0.2682926829268293","422047","422047","3772297"
"R","1","Lightning Bolt","uncommon","Instant","1.99","0.73","1.82","1.01","0.3","0.17647058823529402","452721","452721","4068867"
"G,U","2","Simic Signet","uncommon","Artifact","0.69","0.28","0.55","0.18","0.03","0.26666666666666666","201155","201155","1824186"
"G","3","Tireless Provisioner","uncommon","Creature","2.99","2.62","3.65","1.45","0.03","0.4976689976689992","415324","415324","3772297"
"W,B,G","7","Eerie Ultimatum","rare","Sorcery","3.49","2.99","2.19","1.53","0.02","0.6914893617021275","91346","91346","830445"
"B,G","1","Deathrite Shaman","rare","Creature","8.49","6.88","8.05","6.86","0.59","0.4289693593314762","188109","188109","1730512"
"W,U,B,R,G","5","Timeless Lotus","mythic","Artifact","4.99","5","4.39","2.1","0.03","0.14285714285714285","58558","58558","539948"
"W,B","3","Mortify","uncommon","Instant","0.49","0.25","0.36","0.12","0.03","0.21574344023323608","199010","199010","1853973"
"W,U,B,R,G","5","Mass of Mysteries","mythic","Creature","0.99","0.45","1.09","0.25","undefined","0","11734","11734","109334"
"R,G","2","Talisman of Impulse","uncommon","Artifact","0.69","0.35","0.55","0.29","0.03","0","189836","189836","1788871"
"B,G","4","Culling Ritual","rare","Sorcery","2.29","1.3","2.56","0.96","0.42","0.6610169491525423","183392","183392","1730512"
"W","3","Flawless Maneuver","rare","Instant","24.99","18.25","13.17","15.91","9.42","1.0049751243781126","400435","400435","3798857"
"R","4","Big Score","common","Instant","2.29","1","2.19","0.9","0.03","0.11296076099881097","424155","424155","4068867"
"W","3","Stroke of Midnight","uncommon","Instant","0.79","0.42","0.72","0.32","0.02","0.2350230414746543","394784","394784","3798857"
"G","4","Beast Whisperer","rare","Creature","8.99","6.95","8.05","3.74","0.02","0.3950056753688988","386655","386655","3772297"
"G,W","5","Mirari's Wake","mythic","Enchantment","8.99","6.32","8.78","3.76","0.02","0.6597633136094676","175402","175402","1735178"
"U","3","Sink into Stupor","uncommon","Instant","12.99","7.85","13.17","9.24","6.37","0.515151515151515","386050","386050","3820371"
"G","1","Wild Growth","common","Enchantment","0.79","0.4","0.55","0.27","0.04","0.15573770491803268","380416","380416","3772297"
"B,R","3","Mayhem Devil","uncommon","Creature","0.59","0.34","0.55","0.29","0.03","0.6038251366120225","191004","191004","1902006"
"G","1","Hardened Scales","rare","Enchantment","2.99","2.49","3.65","1.6","0.02","0.41954022988505746","377701","377701","3772297"
"B,G","2","Golgari Signet","uncommon","Artifact","0.69","0.33","0.55","0.33","0.03","0.5","173211","173211","1730512"
"W","4","Akroma's Will","rare","Instant","17.99","14.23","17.56","11.27","5.86","1.1805668016194322","377193","377193","3798857"
"G","1","Fyndhorn Elves","common","Creature","3.99","1.67","3.65","1.77","0.04","0.15741789354473398","372149","372149","3772297"
"G","5","Doubling Season","mythic","Enchantment","32.99","35.18","32.94","18.47","0.02","1.1603694374475244","370002","370002","3772297"
"U","5","Force of Will","mythic","Instant","94.99","74.7","80.52","53.31","12.35","2.0099337748344386","394739","394739","4028755"
"G","1","Crop Rotation","uncommon","Instant","4.99","4.02","4.39","3.93","4.33","0.9247191011235955","369195","369195","3772297"
"R","2","Impact Tremors","common","Enchantment","3.99","1.9","3.65","2.03","0.03","0.5979955456570151","398018","398018","4068867"
"G","3","Scute Swarm","rare","Creature","5.99","4.27","5.85","3.18","0.02","1.307947019867551","363548","363548","3772297"
"W,B","2","Elas il-Kor, Sadistic Pilgrim","uncommon","Creature","1.99","1.27","1.82","0.56","0.03","0.43243243243243246","177931","177931","1853973"
"B,G,U","6","Muldrotha, the Gravetide","mythic","Creature","0.99","0.65","1.46","0.86","0.02","0.903921568627451","87962","87962","917804"
"G","2","Explore","common","Sorcery","0.59","0.27","0.55","0.14","0.03","0.16557734204793023","360948","360948","3772297"
"B,G","2","Abrupt Decay","rare","Instant","1.99","1.17","2.19","1.22","0.11","0.3411078717201169","163831","163831","1730512"
"G","3","Harrow","common","Instant","0.59","0.29","0.55","0.11","0.01","0.17514124293785288","355487","355487","3772297"
"G","9","The Great Henge","mythic","Artifact","74.99","63.01","73.2","41","0.87","1.6197874080130812","354766","354766","3772297"
"R","2","Thrill of Possibility","common","Instant","0.35","0.2","0.21","0.06","0.02","0.07991360691144711","380686","380686","4068867"
"G","6","Rishkar's Expertise","rare","Sorcery","3.49","1.97","2.92","1.32","0.02","0.4229432213209733","349094","349094","3772297"
"B","2","Night's Whisper","common","Sorcery","0.99","0.38","0.72","0.46","0.49","0.08000000000000011","383121","383121","4146014"
"U","1","Opt","common","Instant","0.35","0.2","0.36","0.07","0.03","0.08732694355697551","371368","371368","4028755"
"B","1","Village Rites","common","Instant","0.79","0.31","0.72","0.22","0.03","0.08896396396396394","381676","381676","4146014"
"U","1","Rapid Hybridization","uncommon","Instant","1.49","0.8","1.46","1.48","0.03","0.3154506437768239","368710","368710","4028755"
"U","1","Preordain","common","Sorcery","1.49","0.59","1.46","0.9","1.1","0.10746606334841631","368151","368151","4028755"
"W","2","Grand Abolisher","mythic","Creature","17.99","15.27","18.3","7.5","0.02","1.3808738664468256","346126","346126","3798857"
"R,G","2","Gruul Signet","common","Artifact","0.99","0.41","0.72","0.21","0.03","0.2857142857142857","162432","162432","1788871"
"G","2","Sylvan Library","mythic","Enchantment","34.99","25.94","29.28","22.64","0.28","0.9643564356435643","338929","338929","3772297"
"R","3","Professional Face-Breaker","rare","Creature","4.99","4","5.85","3.55","0.02","0.4111498257839724","365231","365231","4068867"
"G,W","2","Eladamri's Call","rare","Instant","10.99","10.34","10.24","6.81","0.09","0.7293447293447303","154419","154419","1735178"
"B","4","Fell the Profane","uncommon","Instant","7.49","4.87","7.31","5.16","0.1","0.1834862385321101","349488","349488","3932076"
"B","4","Mirkwood Bats","common","Creature","1.29","1.09","1.46","0.27","0.02","0.7274774774774777","368155","368155","4146014"
"U,R","2","Goblin Electromancer","common","Creature","0.35","0.2","0.36","0.08","0.01","0.2609890109890109","169160","169160","1909177"
"R","1","Gamble","rare","Sorcery","16.99","11.75","11.71","9.3","0.36","0.7558011049723754","358585","358585","4068867"
"B","2","Animate Dead","uncommon","Enchantment","9.49","7.99","8.05","6.42","0.04","0.5505617977528106","363960","363960","4146014"
"R","4","Storm-Kiln Artist","uncommon","Creature","4.49","2.79","4.39","0.82","0.03","0.7036172695449239","356356","356356","4068867"
"B,G","1","Elves of Deep Shadow","common","Creature","4.49","3.05","3.65","1.28","0.03","0.10693641618497106","151517","151517","1730512"
"B","2","Sign in Blood","common","Sorcery","0.99","0.43","0.72","0.3","0.03","0.11159737417943105","362998","362998","4146014"
"U,R,W","4","Whirlwind of Thought","rare","Enchantment","0.69","0.3","0.72","0.3","0.02","0.3922651933701658","79912","79912","915471"
"","3","Chromatic Lantern","rare","Artifact","3.49","0.75","1.82","0.63","0.02","0","702407","702407","8148845"
"B","4","Pitiless Plunderer","uncommon","Creature","3.49","2.31","3.65","2.75","0.03","0.714285714285714","354557","354557","4146014"
"G","7","Avenger of Zendikar","mythic","Creature","0.99","0.5","1.09","0.53","0.02","0.6419466975666286","321169","321169","3772297"
"B","5","Gray Merchant of Asphodel","uncommon","Creature","1.99","0.95","1.82","1","0.03","0.9766022380467949","352291","352291","4146014"
"B,G","1","Revitalizing Repast","uncommon","Instant","1.99","1.28","2.56","1.33","0.03","0.19531250000000006","139433","139433","1643390"
"B","2","Zulaport Cutthroat","uncommon","Creature","2.49","1.62","2.92","1.35","0.03","0.5110081112398606","350654","350654","4146014"
"R","2","Hexing Squelcher","rare","Creature","22.99","19.87","24.15","13.95","2.73","0","63399","63399","751824"
"B","2","Orcish Bowmasters","rare","Creature","54.99","46.19","54.9","31.69","7.67","2.0746140651801013","347977","347977","4146014"
"","4","The One Ring","mythic","Artifact","119.99","95.98","102.49","80.79","2.83","2.553962900505904","679808","679808","8148845"
"B","5","Syr Konrad, the Grim","uncommon","Creature","0.79","0.54","0.72","0.45","0.03","0.929480901077375","344619","344619","4146014"
"G","3","Inspiring Call","uncommon","Instant","0.69","0.33","0.72","0.22","0.03","0.25644171779141106","311126","311126","3772297"
"G","3","Reclamation Sage","uncommon","Creature","0.49","0.25","0.36","0.15","0.03","0.21900347624565455","308802","308802","3772297"
"W","6","Sun Titan","mythic","Creature","0.99","0.31","0.72","0.28","0.02","0.29571106094808125","310830","310830","3798857"
"G","5","Seedborn Muse","rare","Creature","12.99","10.78","12.44","5.46","0.02","1.7657430730478583","308406","308406","3772297"
"G","3","Dryad of the Ilysian Grove","rare","Creature","8.49","8.55","8.05","5.2","0.06","0.4852272727272728","308247","308247","3772297"
"R","6","Etali, Primal Storm","rare","Creature","0.79","0.48","14.63","0.36","0.02","0.8498331479421577","331791","331791","4068867"
"B","1","Malakir Rebirth","uncommon","Instant","16.99","10.37","16.1","9.63","0.03","0.20930232558139536","338000","338000","4146014"
"G","1","Exploration","rare","Enchantment","37.99","28.91","29.28","23.5","11.14","0.849557522123894","306740","306740","3772297"
"G","4","Skyshroud Claim","common","Sorcery","1.79","0.95","1.46","0.94","0.18","0.18191841234840123","305431","305431","3772297"
"U","3","Force of Negation","rare","Instant","47.99","40.14","51.24","37.16","12.73","1.9095354523227384","325330","325330","4028755"
"B","1","Viscera Seer","common","Creature","0.99","0.48","0.72","0.49","0.03","0.3979357798165137","334286","334286","4146014"
"G","4","Guardian Project","mythic","Enchantment","15.99","10.78","16.1","8.86","0.02","0.6297619047619041","302509","302509","3772297"
"G,U,R","3","Temur Battlecrier","rare","Creature","0.99","0.93","0.72","0.34","0.02","0.23717948717948742","47638","47638","594748"
"G","2","Bloom Tender","mythic","Creature","16.99","13.81","13.9","10.07","0.01","0.50280583613917","301260","301260","3772297"
"U","2","Reality Shift","uncommon","Instant","0.35","0.25","0.36","0.23","0.03","0.2773393461104847","319197","319197","4028755"
"B","6","Bolas's Citadel","rare","Artifact","11.99","9","10.24","4.7","0.02","1.7188788128606753","327123","327123","4146014"
"G,U,R","8","Maelstrom Wanderer","rare","Creature","0.79","0.37","0.55","0.38","1.51","0.64756446991404","70310","70310","891889"
"U","7","Hullbreaker Horror","rare","Creature","7.99","5.29","8.05","2.28","0.06","1.739168877099912","317540","317540","4028755"
"B","3","Withering Torment","uncommon","Instant","5.99","3.75","5.85","2.18","0.03","0.1890303623898139","280016","280016","3564500"
"U","4","Archmage Emeritus","rare","Creature","3.99","1.96","3.65","1.41","0.02","0.4572748267898382","315930","315930","4028755"
"R,G","7","Etali, Primal Conqueror","rare","Creature","34.99","30","36.6","14.76","0.02","1.6455172413793104","140239","140239","1788871"
"R","2","Untimely Malfunction","uncommon","Instant","10.99","7.05","10.97","5.39","0.04","0.32264529058116237","274179","274179","3504227"
"G","3","Azusa, Lost but Seeking","rare","Creature","14.99","12.07","13.17","7.2","0.02","0.9081967213114753","294582","294582","3772297"
"G","4","Harmonize","uncommon","Sorcery","0.35","0.25","0.36","0.11","0.02","0.11884753901560616","294028","294028","3772297"
"G","3","Bala Ged Recovery","uncommon","Sorcery","10.99","6.22","10.97","4.51","0.03","0.1984126984126984","292961","292961","3772297"
"R","1","Ragavan, Nimble Pilferer","mythic","Creature","44.99","42.8","43.92","27.67","9.67","1.292042657916324","315626","315626","4068867"
"U","2","Snap","common","Instant","4.49","2.99","3.65","2.87","0.05","0.5050847457627123","311945","311945","4028755"
"B","2","Diabolic Intent","rare","Sorcery","18.99","13.41","16.83","8.95","0.19","0.7412429378531067","320652","320652","4146014"
"G","2","Lotus Cobra","rare","Creature","8.99","6.82","9.51","5.14","0.02","0.67182320441989","289395","289395","3772297"
"U,B,R","4","Relic of Sauron","rare","Artifact","15.99","14.26","16.83","10.5","3.79","0.0625","74228","74228","972915"
"R,G","4","Decimate","rare","Sorcery","0.49","0.28","0.36","0.16","0.02","0.41388174807197936","135770","135770","1788871"
"R,G,W","9","Zacama, Primal Calamity","mythic","Creature","0.99","0.79","1.46","0.89","0.02","0.6489361702127662","72702","72702","962220"
"B,G","2","Tear Asunder","uncommon","Instant","0.39","0.27","0.36","0.3","0.03","0.21428571428571422","130544","130544","1730512"
"B","2","Infernal Grasp","uncommon","Instant","0.69","0.3","0.55","0.23","0.03","0.18874560375146535","312562","312562","4146014"
"B","3","Morbid Opportunist","uncommon","Creature","0.59","0.25","0.72","0.19","0.03","0.1937354988399074","312528","312528","4146014"
"U,R","6","Niv-Mizzet, Parun","rare","Creature","4.99","3.91","4.39","1.54","0.02","1.2683246073298424","143707","143707","1909177"
"","1","Wayfarer's Bauble","common","Artifact","0.79","0.3","0.55","0.18","0.01","0.07973421926910305","609541","609541","8148845"
"G,U,R","6","Miirym, Sentinel Wyrm","rare","Creature","6.49","6","6.58","4.93","14.03","1.784844384303112","66495","66495","891889"
"G,W","2","Talisman of Unity","uncommon","Artifact","1.49","0.8","1.46","0.42","0.03","0.5","129264","129264","1735178"
"U","4","Phyrexian Metamorph","rare","Creature","3.49","2.44","3.65","2.09","0.12","0.42701525054466233","299290","299290","4028755"
"G","2","Finale of Devastation","mythic","Sorcery","54.99","39.68","51.24","23.74","0.75","1.1298593879239043","279991","279991","3772297"
